spec,name,tic,ra_deg,dec_deg,epoch_label,position_source,tmag,query_utc,n_gaia,gaia_source_id,gaia_ra,gaia_dec,pmra,pmdec,parallax,g_mag,match_is_brightest,pm_total_masyr,shift_16yr_mas,res2015_ra_mas,res2015_dec_mas,res2015_mas,res2000_ra_mas,res2000_dec_mas,res2000_mas,epoch_class,reason,query_error
campaigns/toi-5870-01.yaml,TOI-5870.01,305375697,324.59941,11.006898,J2000.0,NASA Exoplanet Archive TOI table,10.7974,2026-09-25T21:30:45Z,2,1742536509083998208,324.59941161744433,11.006896438198446,14.903857623478032,-9.35009653683996,2.811216315208472,11.171465,True,17.594,281.504,1.736,0.947,1.978,232.746,-143.979,273.680,J2015.5,,
campaigns/toi-5893-01.yaml,TOI-5893.01,321790238,317.926468,8.980673,J2000.0,NASA Exoplanet Archive TOI table,11.4879,2026-09-25T21:31:01Z,1,1743373271792149760,317.926467266572,8.980671593229093,-6.118716003276504,-10.697781348588935,3.0368726109652244,11.920634,True,12.324,197.184,-0.451,-0.285,0.534,-95.291,-166.100,191.493,J2015.5,,
campaigns/toi-6085-01.yaml,TOI-6085.01,160223936,261.281796,85.115518,J2000.0,NASA Exoplanet Archive TOI table,8.7475,2026-09-25T21:31:16Z,1,1723715034679751168,261.28187432035014,85.11551824441882,47.66218693151786,0.332719203492824,21.115284035065486,9.301451,True,47.663,762.614,-0.176,-0.714,0.735,738.587,4.444,738.601,J2015.5,,
campaigns/toi-6650-04.yaml,TOI-6650.04,64837857,338.805332,54.773557,J2000.0,NASA Exoplanet Archive TOI table,10.0252,2026-09-25T21:31:31Z,3,2003378188041736320,338.8053345215047,54.77355645130852,12.197541059503957,-0.5759945229988034,4.234835750491467,10.356592,True,12.211,195.378,0.863,1.687,1.895,189.925,-7.241,190.063,J2015.5,,
campaigns/toi-6653-01.yaml,TOI-6653.01,150901009,4.182463,20.856765,J2000.0,NASA Exoplanet Archive TOI table,9.1129,2026-09-25T21:31:47Z,1,2800115065478177408,4.182519990840063,20.856767538614882,382.99404003685225,15.238587651137141,19.98632023402333,9.716108,True,383.297,6132.753,-0.226,-1.520,1.536,5936.182,234.678,5940.819,J2015.5,,
campaigns/toi-6663-01.yaml,TOI-6663.01,415732733,142.031271,78.944752,J2000.0,NASA Exoplanet Archive TOI table,10.594,2026-09-25T21:32:03Z,3,1132006667438853760,142.03128386279016,78.94474844925321,9.244801489611843,-12.775356785096484,2.576909380649747,11.22735,True,15.769,252.311,-4.257,6.395,7.682,139.037,-191.623,236.750,inconsistent,"neither epoch within tolerance, or not clearly separated",
campaigns/toi-6664-01.yaml,TOI-6664.01,147561732,143.137378,69.729484,J2000.0,NASA Exoplanet Archive TOI table,8.03278,2026-09-25T21:32:16Z,2,1071126158853591424,143.13736493318808,69.7294784222207,-31.919814489132072,-40.68618621869921,6.453415646133198,8.370554,True,51.713,827.409,0.337,-0.263,0.428,-494.420,-630.899,801.551,J2015.5,,
campaigns/toi-6666-01-nss.yaml,TOI-6666.01,256429408,325.003248,69.086612,J2000.0,NASA Exoplanet Archive TOI table (via campaigns/toi-6666-01.yaml),,2026-09-25T21:32:32Z,1,2223770483452673408,325.0032473931132,69.08661730300648,-1.5677102836668801,36.930993635192245,7.865778771312494,8.779094,True,36.964,591.428,-0.004,-0.625,0.625,-24.303,571.805,572.321,J2015.5,,
campaigns/toi-6666-01.yaml,TOI-6666.01,256429408,325.003248,69.086612,J2000.0,NASA Exoplanet Archive TOI table,8.43041,2026-09-25T21:32:32Z,1,2223770483452673408,325.0032473931132,69.08661730300648,-1.5677102836668801,36.930993635192245,7.865778771312494,8.779094,True,36.964,591.428,-0.004,-0.625,0.625,-24.303,571.805,572.321,J2015.5,,
campaigns/toi-6667-01.yaml,TOI-6667.01,161169240,339.35783,-53.31905,J2000.0,NASA Exoplanet Archive TOI table,12.122,2026-09-25T21:32:46Z,1,6507438682567821568,339.3578468842238,-53.31905883805049,70.29308459984837,-63.56551627313064,2.1682994402658657,12.522718,True,94.772,1516.349,-1.163,0.034,1.163,1088.380,-985.231,1468.078,J2015.5,,
