plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"WASP-12 b",1.5240,,1.464500,0.022900,-0.022900,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.5250,0.0500,1.397000,0.012000,-0.012000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.5270,0.0520,,,,,0.11989,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.5520,,1.470700,0.028600,-0.028600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.5620,0.0700,1.447500,0.005800,-0.005800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.5750,0.0500,1.359000,0.013000,-0.013000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.5790,,1.417000,0.029600,-0.029600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.5790,0.0520,,,,,0.11849,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.6060,,1.426400,0.032900,-0.032900,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.6250,0.0500,1.373000,0.013000,-0.013000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.6310,0.0520,,,,,0.11830,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.6315,0.0690,1.433200,0.005500,-0.005500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.6330,,1.407300,0.040000,-0.040000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",3.6000,,,,,,0.11722,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",3.6000,,1.341000,0.020000,-0.020000,0,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",4.5000,,1.306000,0.031000,-0.031000,0,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",4.5000,,,,,,0.11773,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
