HR,Name,RAJ2000,DEJ2000,Vmag,B-V
1041," ",52.08666666666666,33.8075,5.61,0.02
978," ",49.146249999999995,32.183611111111105,6.06,0.99
975," ",48.945833333333326,32.85638888888889,6.31,0.37
1019," ",51.123749999999994,33.53583333333333,5.61,-0.03
991," ",49.68249999999999,34.22277777777777,4.82,1.49
782," 33    Ari",40.17124999999999,27.06083333333333,5.3,0.09
801," 35    Ari",40.86291666666666,27.707222222222217,4.66,-0.13
824," 39    Ari",41.977083333333326,29.247222222222216,4.51,1.11
717," 12    Tri",37.041666666666664,29.66944444444444,5.29,
720," 13    Tri",37.20208333333333,29.93194444444444,5.89,0.58
680," ",35.01833333333333,30.18833333333333,6.47,
712," 11    Tri",36.86541666666666,31.801388888888884,5.54,1.12
757," ",39.178749999999994,31.607499999999995,6.1,1.05
761," ",39.276666666666664,32.89194444444444,6.25,0.48
758," ",39.260416666666664,34.263888888888886,5.3,1.55
750," 15    Tri",38.94499999999999,34.68749999999999,5.35,1.66
873," 21    Per",44.322083333333325,31.934166666666663,5.11,-0.01
882," 24    Per",44.76541666666666,35.18305555555555,4.93,1.23
976," ",49.00791666666666,34.68861111111111,6.25,0.28
843," 17    Per",42.87833333333333,35.05972222222222,4.53,1.56
820," ",41.76458333333333,35.55499999999999,6.3,
819," ",41.74291666666666,35.98361111111111,6.25,0.93
831," ",42.36291666666666,37.3261111111111,6.45,0.43
894," ",45.04916666666666,38.13166666666666,6.11,-0.06
921," 25Rho Per",46.29416666666666,38.84027777777777,3.39,1.65
855," 20    Per",43.427499999999995,38.33749999999999,5.33,0.41
876," ",44.509583333333325,38.614999999999995,6.04,1.41
840," 16    Per",42.646249999999995,38.3186111111111,4.23,0.34
879," 22Pi  Per",44.690416666666664,39.66277777777777,4.7,0.06
886," ",44.91624999999999,41.03305555555555,5.89,1.44
1375," ",65.88499999999999,20.98222222222222,5.99,0.03
1403," ",67.00333333333333,21.619999999999997,5.72,0.27
1388," 67Kap2Tau",66.35416666666666,22.19972222222222,5.28,0.25
1387," 65Kap1Tau",66.34208333333332,22.293888888888887,4.22,0.13
1392," 69Ups Tau",66.57708333333332,22.813611111111108,4.28,0.26
1399," 72    Tau",66.82291666666666,22.996388888888887,5.53,-0.1
1497," 94Tau Tau",70.56124999999999,22.956944444444442,4.28,-0.13
1459," ",69.12166666666666,23.34083333333333,6.02,0.38
1499," 95    Tau",70.80749999999999,24.088888888888885,6.13,0.54
1512," ",71.42708333333333,23.62805555555555,6.35,0.06
1477," ",69.84624999999998,25.21833333333333,6.22,0.16
1378," 62    Tau",65.99916666666665,24.30111111111111,6.36,0.17
1369," 59Chi Tau",65.64541666666666,25.629166666666663,5.37,-0.05
1470," ",69.62333333333332,26.939999999999998,6.47,
1348," 52Phi Tau",65.08874999999999,27.35083333333333,4.95,1.15
1554," ",73.19624999999999,27.897499999999997,5.97,0.37
1626," ",76.06041666666665,30.49472222222222,6.14,1.21
