hpx,n,x,y,z
1052,58,-0.7589807332278433,0.6235182261153199,0.18715701533618181
6185,74,-0.8590520964108405,0.10478925235542445,-0.5008748882792827
1234,57,-0.6718041531269197,0.5809410647938901,0.45935205392441697
6951,32,-0.9806432219944745,0.04630066807297822,0.1897578214039908
9554,144,-0.7039678777531322,0.055262161989313344,-0.7079197882924553
8177,115,0.020637815988607734,-0.8400597412505281,0.5419384340577189
582,84,0.6640809046768501,0.46881120244695784,0.5822721793246847
951,136,0.25901235189630684,0.09603523351862324,0.9609838139536435
6930,32,-0.9898527132538026,-0.072515532136011,0.12167620915981558
7357,108,-0.16745440981089493,-0.9633312001310053,-0.20924129311834816
9197,51,0.7503579185909677,0.6490069946235435,-0.12478781272709476
11119,64,-0.6094333103027975,-0.7452148791488793,-0.2703214884774582
11736,51,0.8036376001128313,-0.28716442658099534,-0.5210837276984958
1896,51,-0.32444593304815106,0.26908810574008335,0.906718742704894
5251,80,0.17473187243237098,0.881940379095594,-0.43760335980203446
6346,45,-0.9650977701717168,0.07212943872481756,-0.2513920338157981
9863,122,-0.1309207406657258,0.6749874780665568,-0.7259689135879192
11909,153,0.12988264067066696,-0.655322607601155,-0.7439519897229028
8823,32,0.6659728018160999,0.49393146302209623,-0.5589177698163063
2913,55,-0.23854653703632106,-0.37748240826409674,0.8946510795889497
5109,92,0.8084977344349273,0.05970474105257084,0.585319595469133
272,48,0.26051843783649775,0.8612291081123961,0.43616460409022695
9580,123,-0.7298528110822754,0.22071862699577782,-0.6468358031973823
2518,72,-0.0577896416716569,-0.5791905557965347,0.8130122614147597
11264,79,0.01713594553709016,-0.01854162528101191,-0.9995927947192632
7424,161,0.36320132145450007,-0.8772754770537972,-0.313538848237686
2803,44,-0.5080397768017997,-0.09403257652145217,0.8560842217254763
8163,92,-0.08728614651998959,-0.8732902519207056,0.4791326005107257
3177,141,0.7135235851620624,-0.6162671009885342,0.3330458683204712
1604,81,-0.4922432526718676,0.6642370434238112,0.5624137973862593
895,89,0.01956674305039187,0.2273221718490342,0.9735146875888137
653,107,0.7614619043863263,0.17093031678947943,0.6251462293333735
5358,128,0.12082660467576517,0.9848165538842278,-0.1239793150734554
2396,91,-0.054074313288801086,-0.7241512042052574,0.6873564738507796
5172,135,-0.043388504397486816,0.898378391082399,-0.4368684208847168
10070,75,-0.841785664134446,0.4237169535170573,-0.3342526689757001
2918,49,-0.2052869625700898,-0.3445769431400434,0.9159248029589575
5236,165,-0.2341521811146234,0.9333139245219079,-0.27189006047469055
3487,245,0.6152068124026211,-0.3055205694803457,0.7266342796604649
10999,60,-0.8298844269993857,-0.3931321359453675,-0.3956877093131966
10681,72,-0.4663504135601919,-0.6641914564868087,-0.5841402486599535
3560,363,0.5385679522694348,-0.27374319303058264,0.7967645100014817
3644,232,0.3050361995693098,-0.736470506264207,0.6036469421412596
6221,47,-0.9052534954762949,-0.2012726973537795,-0.37394343472741154
1378,33,-0.7412369008260687,0.24546897527841435,0.624584129885922
9764,107,-0.09755498409401815,0.554144433059743,-0.8265461784940348
1056,93,-0.6301663124166952,0.7694256476498482,0.10343652313152606
3768,104,0.057110588340269094,-0.6852285519309582,0.725922281068076
7059,35,-0.9444217436100337,0.09424955987990769,0.3146465047202353
3407,116,0.7475160697793659,-0.14875751506675422,0.6472397911875009
7202,275,-0.10100375553804322,-0.8346647782906333,-0.5412506282754455
7174,390,0.01984733872462485,-0.812000924983202,-0.5831644835793912
6075,65,0.2177071460795407,0.8717416435263708,0.4387231540302889
3808,125,0.1318406563316862,-0.6335499170283854,0.7622473885277072
11875,102,0.3373480389528308,-0.643661992795024,-0.686806646095031
3969,191,0.2748501511395108,-0.46262438193421224,0.8427604880362254
11333,61,0.3011231149131038,-0.018440032160274785,-0.9533060162445206
8234,72,0.20155060381446174,0.018632391583699875,-0.979176638189236
9777,127,-0.20328233023741019,0.5912039552926546,-0.7803666341964831
11414,92,0.23725256734028036,-0.3193272786324134,-0.9173632171939173
8660,77,0.20791632677688748,0.8268337982469192,-0.522461669566085
6233,60,-0.9085349034814588,-0.24978180562044208,-0.3346733384678838
3587,157,0.3520816552392974,-0.8480708262502377,0.3957937381496164
4441,62,0.7884511899061493,0.6149414946677279,-9.22233919881587E-4
7082,34,-0.8798128395751086,0.3372988203578467,0.33461404013385065
10432,212,-0.297692292458353,-0.298275014723846,-0.9067777701939145
9479,400,-0.512186882880276,0.057863560816287504,-0.8567896692302583
11963,248,0.12215422220962582,-0.8178595171207308,-0.5621353243347953
8126,69,-0.1951619791936609,-0.8669714137874641,0.45838738900727943
9660,123,-0.6868594749158417,0.4598829626094846,-0.5626431655041866
3996,98,0.20255724541565573,-0.31510562062016784,0.9270994023280972
3746,124,0.0568328190009559,-0.7790877545440221,0.6241938492203396
10565,255,-0.01977162977864983,-0.6673183287158404,-0.7443515055019473
5951,173,2.6241569426579335E-4,0.9497922397898992,0.3125911700880861
