name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-6784.01,253857911,283.270016,-38.399466,13.1622,14772.0,4.023,2460145.68361,PC,2026-04-24 12:05:19,6906.759206521125,"depth 14772 ppm, duration 4.02 h, Tmag 13.16 → score 6907",865
TOI-6862.01,408508003,3.539406,7.115538,11.8423,8621.0,3.501,2460225.54574,PC,2025-01-30 12:03:06,6905.477276202591,"depth 8621 ppm, duration 3.50 h, Tmag 11.84 → score 6905",866
TOI-6787.01,201658484,288.702162,-54.242515,11.8193,8605.0,3.438,2460146.920966,PC,2026-06-11 12:03:27,6903.0943749107655,"depth 8605 ppm, duration 3.44 h, Tmag 11.82 → score 6903",867
TOI-6229.01,437736517,2.417089,28.243677,12.9192,17579.0,2.266,2459875.788906,PC,2024-08-22 10:08:01,6898.967815295227,"depth 17579 ppm, duration 2.27 h, Tmag 12.92 → score 6899",868
TOI-2556.01,468981993,128.702871,8.569483,10.7003,4426.4689118,4.6198374,2459966.962573,APC,2023-07-12 10:10:02,6891.4524446831565,"depth 4426 ppm, duration 4.62 h, Tmag 10.70 → score 6891",869
TOI-6403.01,94405787,115.527073,-13.460841,12.9298,11798.0,5.052,2459979.393533,PC,2024-08-22 10:08:01,6879.867319027455,"depth 11798 ppm, duration 5.05 h, Tmag 12.93 → score 6880",870
TOI-5385.01,85266608,160.630713,28.198626,10.8583,4175.9093299,5.9764524,2459608.235785,PC,2024-02-19 12:02:55,6875.634670361802,"depth 4176 ppm, duration 5.98 h, Tmag 10.86 → score 6876",871
TOI-5223.01,377297285,286.716198,54.612108,13.0628,13698.7386688,4.2275632,2460369.865078,PC,2024-09-06 10:08:02,6873.305302878613,"depth 13699 ppm, duration 4.23 h, Tmag 13.06 → score 6873",872
TOI-2463.01,452375478,88.090245,-48.09086,9.0318,1233.9391066,12.7030565,2459179.182044,PC,2021-10-29 12:59:15,6868.91027075501,"depth 1234 ppm, duration 12.70 h, Tmag 9.03 → score 6869",873
TOI-6905.01,354846183,300.559621,-39.506572,10.4547,2930.0714108,8.3500813,2459044.538434,PC,2024-09-12 12:02:47,6867.261051868338,"depth 2930 ppm, duration 8.35 h, Tmag 10.45 → score 6867",874
TOI-3450.01,126125073,228.035132,-53.313368,10.376,4610.0,3.131,2459353.647517,PC,2025-10-16 12:03:52,6860.289755024468,"depth 4610 ppm, duration 3.13 h, Tmag 10.38 → score 6860",875
TOI-2906.01,192259856,137.390723,-37.796842,12.7318,13910.0,3.008,2459277.553272,PC,2025-04-21 12:03:49,6856.556292871896,"depth 13910 ppm, duration 3.01 h, Tmag 12.73 → score 6857",876
TOI-2444.01,29959760,42.263784,-16.55928,13.6732,32325.7685306,1.3242991,2459145.041127,APC,2024-06-09 12:03:00,6853.334046269524,"depth 32326 ppm, duration 1.32 h, Tmag 13.67 → score 6853",877
TOI-5327.01,303502327,51.029236,12.435963,12.6345,14940.0,2.378,2459521.337748,PC,2024-08-22 10:08:01,6847.886012571287,"depth 14940 ppm, duration 2.38 h, Tmag 12.63 → score 6848",878
TOI-6104.01,265010875,126.585367,5.2584,10.4146,2845.1432466,8.4737438,2459968.466203,PC,2025-12-09 12:03:42,6842.610218587763,"depth 2845 ppm, duration 8.47 h, Tmag 10.41 → score 6843",879
TOI-7507.01,397231954,101.665065,-84.938242,10.8487,3636.1790628,7.7272657,2460863.075816,PC,2025-09-25 12:04:21,6837.828194230837,"depth 3636 ppm, duration 7.73 h, Tmag 10.85 → score 6838",880
TOI-5328.01,58372253,65.293362,27.16792,11.2303,4580.0,6.921,2459519.397889,PC,2025-09-19 12:04:41,6837.382917879705,"depth 4580 ppm, duration 6.92 h, Tmag 11.23 → score 6837",881
TOI-6788.01,319568755,290.972257,-54.149068,13.1004,14405.0,3.907,2460116.929651,PC,2024-08-22 10:08:01,6828.966279370787,"depth 14405 ppm, duration 3.91 h, Tmag 13.10 → score 6829",882
TOI-4968.01,253961767,199.154488,-59.030514,12.5808,11467.2654828,3.8169843,2460070.677566,PC,2025-07-22 12:04:25,6825.9020809744,"depth 11467 ppm, duration 3.82 h, Tmag 12.58 → score 6826",883
TOI-7824.01,73644471,191.799964,-43.840457,12.4024,9707.8825569,4.5147632,2461078.106743,PC,2026-06-08 12:03:46,6822.789963764719,"depth 9708 ppm, duration 4.51 h, Tmag 12.40 → score 6823",884
TOI-6824.01,197642926,328.529799,-41.845726,12.5602,13091.0,2.87,2460177.60094,PC,2024-11-02 12:02:54,6821.403995200175,"depth 13091 ppm, duration 2.87 h, Tmag 12.56 → score 6821",885
TOI-3788.01,312811620,94.432577,54.381306,11.3321,7200.0,3.061,2458863.845509,PC,2026-03-19 12:03:32,6820.938930875369,"depth 7200 ppm, duration 3.06 h, Tmag 11.33 → score 6821",886
TOI-4246.01,291465998,111.111271,-51.697365,12.9,11434.9523427,5.137673,2459966.426061,PC,2026-04-24 12:05:19,6817.381354260581,"depth 11435 ppm, duration 5.14 h, Tmag 12.90 → score 6817",887
TOI-6684.01,273270473,320.826158,-80.766966,13.6702,25164.5811952,2.1554708,2460100.292201,PC,2024-12-05 16:02:02,6815.861846091267,"depth 25165 ppm, duration 2.16 h, Tmag 13.67 → score 6816",888
TOI-5693.01,272519426,236.518383,4.691983,12.169,25960.0,0.506,2459712.634476,PC,2026-07-15 12:03:17,6801.112308929551,"depth 25960 ppm, duration 0.51 h, Tmag 12.17 → score 6801",889
